Number,Chapter,School,District,Founding Date
164,Zeta Upsilon,Troy University,Southeast,5/18/1974
165,Zeta Phi,Tuskegee University,Southeast,11/2/1974
166,Zeta Chi,University of South Carolina,Southeast,11/8/1974
167,Zeta Psi,Virginia State University,Northeast,2/1/1975
168,Zeta Omega,Weber State University,Western,5/29/1975
169,Eta Alpha,Lock Haven University,Northeast,10/19/1975
170,Eta Beta,Virginia Polytechnic Institute & State University,Northeast,4/3/1976
171,Eta Gamma,Morgan State University,Northeast,4/24/1976
172,Eta Delta,Eastern Illinois University,North Central,12/13/1976
173,Eta Epsilon,Illinois State University,North Central,4/16/1977
174,Eta Zeta,University of Kansas,Midwest,4/16/1977
175,Eta Eta,Jackson State University,Southeast,10/28/1977
176,Eta Theta,Nicholls State University,Southwest,4/9/1978
177,Eta Iota,Bethune-Cookman University,Southeast,2/18/1978
178,Eta Kappa,Albany State University,Southeast,5/20/1978
179,Eta Lambda,Carson Newman College,Southeast,10/7/1978
180,Eta Mu,San Diego State University,Western,12/16/1978
181,Eta Nu,Southeastern Oklahoma State University,Southwest,2/17/1979
182,Eta Xi,Louisiana Tech University,Southwest,3/15/1980
183,Eta Omicron,James Madison University,Northeast,11/9/1980
184,Eta Pi,University of Northern Iowa,Midwest,10/3/1981
185,Eta Rho,West Chester University,Northeast,11/22/1981
186,Eta Sigma,University of Central Florida,Southeast,4/23/1982
187,Eta Tau,Allegheny College,Northeast,4/25/1982
188,Eta Upsilon,University of Missouri-Columbia,Midwest,5/1/1982
189,Eta Phi,Syracuse University,Northeast,12/4/1982
190,Eta Chi,Bowie State University,Northeast,5/1/1983
191,Eta Psi,Delaware State University,Northeast,5/8/1983
192,Eta Omega,Howard University,Northeast,2/4/1984
193,Theta Alpha,Texas State University at San Marcos,Southwest,2/19/1984
194,Theta Beta,Boston University,Northeast,3/29/1984
195,Theta Gamma,Pennsylvania Western University California,Northeast,5/11/1984
196,Theta Delta,Central State University,North Central,6/1/1984
